fecha,pregunta,pregunta_normalizada,respuesta,intent,confianza,modelo
2026-05-24T21:04:31,cuantos personas pueden jugar pou a la vez en un dispositivo?,cuantos personas pueden jugar pou a la vez en un dispositivo?,"En Pou, solo una persona puede jugar a la vez en un dispositivo. No hay una función multijugador en tiempo real en la misma aplicación, aunque se pueden sincronizar y compartir progresos a través de diferentes dispositivos con la misma cuenta.",perfil,0.5637,llama-3.3-70b-versatile
2026-05-24T21:05:35,animatronico favorito de pou,animatronico favorito de pou,"No tengo información sobre un animatrónico favorito de Pou. Pou es un juego de simulación de mascotas virtuales donde cuidas a un alienígena llamado Pou, pero no tengo conocimiento de que tenga un animatrónico favorito. ¿Puedo ayudarte con algo más relacionado con Pou?",soporte,0.3088,llama-3.3-70b-versatile
2026-05-24T21:06:51,de que pais es pou,de que pais es pou,"Pou es un juego desarrollado por Zakeh, un estudio de desarrollo de juegos móviles con sede en Israel. El juego fue lanzado en varias tiendas de aplicaciones, incluyendo Google Play y App Store.",soporte,0.9973,llama-3.3-70b-versatile
2026-05-24T21:07:18,como se juega pou,como se juega pou,"Se juega cuidando a un alienígena llamado Pou, alimentándolo, bañándolo y jugando con él. El objetivo es mantener a Pou feliz y sano, lo que se logra realizando diversas actividades y comprando objetos y accesorios para él.",soporte,0.7366,llama-3.3-70b-versatile
2026-05-24T21:10:52,como adios?,como adios?,"En Pou, no hay una forma específica de decir adiós, pero puedes cerrar la aplicación o minimizarla para dejar de jugar. La próxima vez que abras la aplicación, Pou estará esperando para seguir jugando.",despedida,0.9680,llama-3.3-70b-versatile
2026-05-24T21:11:14,hola,hola,Pou es un juego de simulación de mascotas virtuales. Se puede cuidar y personalizar a Pou con diferentes trajes y accesorios.,saludo,0.9798,llama-3.3-70b-versatile
2026-05-24T21:11:29,holas,holas,"Hola, ¿en qué puedo ayudarte sobre Pou? Puedo darte información sobre su cuidado, alimentación o juguetes.",soporte,0.7591,llama-3.3-70b-versatile
2026-05-24T21:14:58,que es un aerodopanico en pou,que es un aerodopanico en pou,"No hay información sobre un ""aerodopanico"" en Pou, es posible que sea un término inventado o no relacionado con el juego. En Pou, hay diferentes objetos y accesorios para personalizar al personaje, pero no hay registro de algo llamado ""aerodopanico"".",soporte,0.9913,llama-3.3-70b-versatile
2026-05-25T16:31:54,cuantas naves espaciles para volar en el aire tiene pousita,cuantas naves espaciles para volar en el aire tiene pousita,"No tengo información exacta sobre el número de naves espaciales en Pou, ya que puede variar según la versión del juego o el dispositivo en el que se juega. Pou tiene varios objetos y accesorios para personalizar y jugar, pero no tengo detalles específicos sobre naves espaciales.",soporte,0.8545,llama-3.3-70b-versatile
2026-05-25T16:35:58,dinosaurio ,dinosaurio ,"Pou es un alienígena, no un dinosaurio. Puedes personalizar a Pou con diferentes trajes y accesorios.",soporte,0.5936,llama-3.3-70b-versatile
2026-05-25T16:36:12,el pepe ,el pepe ,"No hay un personaje llamado ""Pepe"" en el juego Pou, el personaje principal se llama Pou. Pou es un alienígena que necesita ser cuidado y atendido por el jugador.",soporte,0.6175,llama-3.3-70b-versatile
2026-05-25T16:37:02,poubollo de mielda? ,poubollo de mielda? ,"No hay un ""poubollo de miel"" en el juego Pou, pero Pou puede comer miel como alimento. La miel es una de las opciones de comida para Pou.",cursos,0.2343,llama-3.3-70b-versatile
2026-05-25T16:43:07,cuantos alimentos hay en pou ,cuantos alimentos hay en pou ,"No conozco el número exacto de alimentos en Pou, ya que puede variar según la versión del juego y el dispositivo en el que se juega. Hay una variedad de alimentos para alimentar a Pou, incluyendo frutas, verduras y otros productos.",desconocido,0.5722,llama-3.3-70b-versatile
2026-05-25T16:43:21,cuantas manzanes hay en pou ,cuantas manzanes hay en pou ,"No tengo información exacta sobre la cantidad de manzanas en Pou, ya que puede variar según la versión del juego y el dispositivo en el que se juega. La cantidad de manzanas puede cambiar con actualizaciones o personalizaciones del juego.",cursos,0.5633,llama-3.3-70b-versatile
2026-05-25T16:43:58,sexo de pou ,sexo de pou ,"Pou es un personaje neutral, no tiene un sexo definido. Su apariencia y características pueden variar según la versión del juego y las personalizaciones disponibles.",soporte,0.2686,llama-3.3-70b-versatile
2026-05-25T16:44:30,pou hace evaluaciones deportivas? ,pou hace evaluaciones deportivas? ,"Sí, Pou puede participar en minijuegos y actividades deportivas. Estas actividades pueden variar según la versión del juego y el dispositivo en el que se juega.",soporte,0.7324,llama-3.3-70b-versatile
2026-05-25T16:45:35,pou vuela? ,pou vuela? ,"No, Pou no vuela. Puedes jugar con Pou y realizar diferentes acciones, pero volar no es una de ellas.",soporte,0.7324,llama-3.3-70b-versatile
